"record_id","gate","component","source_kind","official_url","official_version","local_path","inspected_locator","expected","observed","alignment_status","execution_status","command_or_test","artifact_path","notes"
"R001","source-identity","Official T-Rex upstream base","repo","https://github.com/ZhuoyangLiu2005/T-Rex","09db9f3b3e3936fb760e67329174bd2bed527a05",".","git remote -v; git ls-remote upstream refs/heads/main; git show upstream/main","Local fork derives from the reopened official upstream main commit","upstream/main and remote main both resolve to 09db9f3b3e3936fb760e67329174bd2bed527a05; local Revo branch is an intentional derivative","aligned","pass","git remote -v; git ls-remote upstream refs/heads/main; git show -s upstream/main","audit/revo3_v1_source_identity.txt","This verifies the base identity only; the working branch is modified and is not an unmodified paper checkout."
"R002","install","Dependency-light Windows smoke environment","repo","https://github.com/ZhuoyangLiu2005/T-Rex","09db9f3b3e3936fb760e67329174bd2bed527a05","pyproject.toml","pyproject.toml [project] requires-python and dependencies; runtime version query","Python 3.10; torch 2.6.0; NumPy 2.2.6; Pillow 12.1.1; full T-Rex dependency set","Python 3.10.4; torch 2.6.0+cpu; NumPy 1.26.4; Pillow 10.1.0; CUDA false; dependency-light imports and tests pass","deviation","pass","py -3.10 -c import sys,numpy,PIL,torch,revo3_v1","audit/revo3_v1_environment.txt","Successful component smoke is not a full install verification; NumPy and Pillow differ and GPU/model dependencies were not exercised."
"R003","interface","Upstream T-Rex to Revo3 embodiment delta","repo","https://github.com/ZhuoyangLiu2005/T-Rex","09db9f3b3e3936fb760e67329174bd2bed527a05","qwen_vla/modeling_vla.py; revo3_v1/policy/contracts.py","upstream/main:qwen_vla/modeling_vla.py constructor and F6 comments; local policy constants","Upstream defaults action_dim 29; action_chunk 8; tactile history 10x6","Revo3 adapter fixes action_dim 21; action_chunk 16; tactile current 5x6; tactile history 16x5x6","deviation","not-applicable","git show upstream/main:qwen_vla/modeling_vla.py; inspect revo3_v1/policy/contracts.py","audit/revo3_v1_source_identity.txt","Intentional compatibility delta; no claim that official T-Rex checkpoint action or tactile heads load unchanged."
"R004","adapter-plumbing","Revo3 policy observation and action-chunk contracts","runtime","https://github.com/xlr1012514182/T-Rex","agent/revo3-v1-demo","revo3_v1/policy/contracts.py; tests/revo3_v1/test_policy_contracts.py","PolicyObservation and ActionChunk dataclass validation","State 21; no EMG tensor; tactile 5x6 plus 16-frame history; output chunk 16x21; causal timestamps","Contract validation and negative-shape tests pass","not-applicable","pass","py -3.10 -m pytest -q tests/revo3_v1/test_policy_contracts.py","audit/revo3_v1_test_results.txt","Local component verification only."
"R005","adapter-plumbing","Synthetic Revo episode to T-Rex JSON adapter","data","https://github.com/xlr1012514182/T-Rex","revo3-synthetic-corpus-v1","revo3_v1/data/episode.py; revo3_v1/data/trex_json.py; tests/revo3_v1/test_revo_data.py","RevoEpisode.validate and convert_revo_episodes_to_trex_json","Controller-target labels; monotonic timestamps; episode-safe chunks; action 16x21; state 21; tactile 5x6; no EMG","Four episodes and 80 records converted; shapes and stats validated; records hash captured","not-applicable","pass","py -3.10 scripts/revo3_v1_generate_robot_demo.py --output outputs/revo3_audit_mock/dataset --episodes-per-task 1 --frames 20","audit/revo3_v1_mock_data_conversion.json","Synthetic fixture only; not approved as robot training data."
"R006","adapter-plumbing","Causal multi-rate timestamp alignment","repo","https://github.com/ZhuoyangLiu2005/T-Rex","09db9f3b3e3936fb760e67329174bd2bed527a05","revo3_v1/timing/aligner.py; tests/revo3_v1/test_timing_aligner.py; revo3_v1/demo.py","CausalTimestampAligner; GCD trigger setup","Official T-Rex uses asynchronous slow and fast policy paths; no official exact GCD contract for EMG-camera-state-touch","Local adapter uses only samples at or before the trigger and derives 10 Hz from 50/30/100/120 Hz streams","deviation","pass","py -3.10 -m pytest -q tests/revo3_v1/test_timing_aligner.py tests/revo3_v1/test_demo.py","audit/revo3_v1_test_results.txt","Compatibility design inspired by T-Rex timing; not a reproduction of its physical acquisition stack."
"R007","adapter-plumbing","Ask-to-Clarify-style planner schema","paper","https://arxiv.org/abs/2509.15061","arXiv:2509.15061v3","revo3_v1/planner/backends.py; revo3_v1/planner/planner.py; tests/revo3_v1/test_planner_core.py","Qwen3VLBackend and strict structured response parser","Paper uses a Qwen2-VL-2B collaboration planner plus ambiguity tokens and an action diffusion component","Local design uses a pinned Qwen3-VL-2B adapter and strict JSON states with T-Rex downstream; tests use MockPlannerBackend","deviation","pass","py -3.10 -m pytest -q tests/revo3_v1/test_planner_core.py","audit/revo3_v1_test_results.txt","Structural adaptation only; real VLM weights were not loaded and the paper result is not reproduced."
"R008","adapter-plumbing","GNI-style binary EMG classifier","paper","https://www.nature.com/articles/s41586-025-09255-w","Nature 645 702-711; DOI 10.1038/s41586-025-09255-w","revo3_v1/emg/model.py; revo3_v1/emg/data.py; tests/revo3_v1/test_emg_model.py","GNIModelConfig; GNIBinaryClassifier; subject-exclusive split tests","Released discrete-gesture topology and multi-gesture task","Reinhard-Conv1D-LSTM topology retained; output adapted to OPEN/CLOSE; smoke tests use reduced dimensions while full GNI preset is available","deviation","pass","py -3.10 -m pytest -q tests/revo3_v1/test_emg_data.py tests/revo3_v1/test_emg_model.py tests/revo3_v1/test_emg_streaming.py","audit/revo3_v1_test_results.txt","Synthetic EMG proves plumbing only; no biological accuracy, cross-user accuracy, or clinical claim."
"R009","adapter-plumbing","Bounded TactileReflex-inspired residual","paper","https://arxiv.org/abs/2605.23568","arXiv:2605.23568","revo3_v1/tactile/reflex.py; tests/revo3_v1/test_tactile_reflex.py","TactileReflexPlugin update and residual bounds","Paper proposes noise-statistics-driven vision-tactile reflex control with force protection, anti-slip and release channels","Local plugin is a bounded five-finger synergy residual with overload flag; it is not the complete controller or calibrated paper method","deviation","pass","py -3.10 -m pytest -q tests/revo3_v1/test_tactile_reflex.py","audit/revo3_v1_test_results.txt","No force-sensitive manipulation result is claimed."
"R010","adapter-plumbing","Revo command safety ownership","runtime","https://github.com/xlr1012514182/T-Rex","agent/revo3-v1-demo","revo3_v1/revo/backend.py; revo3_v1/revo/pipeline.py; revo3_v1/revo/safety.py; tests/revo3_v1/test_revo_safety.py","BrainCoSDKBackend RevoCommandPipeline and SafetySupervisor tests","Residual is bounded; every write refreshes state and collision status; final safety may clip or veto; real write requires explicit arming and a confirmed capability probe","Shape freshness step collision overload official fault bits rpm and current conversion plus dual-arming behaviors pass local fake-SDK tests","not-applicable","pass","py -3.10 -m pytest -q tests/revo3_v1/test_revo_safety.py","audit/revo3_v1_test_results.txt","Fake-SDK component evidence only. Demo thresholds are not physical Revo3 calibration values and the installed SDK current unit must be measured before arming."
"R011","smoke-import","Revo3 V1 package import","runtime","https://github.com/xlr1012514182/T-Rex","agent/revo3-v1-demo","revo3_v1/__init__.py; revo3_v1/demo.py","Python import path","Import dependency-light package without downloading models or touching hardware","import revo3_v1 and import demo pass under Python 3.10.4","not-applicable","pass","py -3.10 -c import revo3_v1; from revo3_v1.demo import run","audit/revo3_v1_environment.txt","Import smoke only."
"R012","smoke-one-batch","One converted T-Rex JSON fixture batch","data","https://github.com/xlr1012514182/T-Rex","revo3-synthetic-corpus-v1","tests/revo3_v1/test_revo_data.py; audit/revo3_v1_mock_data_conversion.json","test_synthetic_episode_and_trex_contract","At least one validated record has 16x21 controller-target action; 21 state; 5x6 tactile; one RGB path; no EMG","80 validated records across four task fixtures; test passes","not-applicable","pass","py -3.10 -m pytest -q tests/revo3_v1/test_revo_data.py","audit/revo3_v1_mock_data_conversion.json","No actual Qwen/T-Rex tensor forward occurred."
"R013","smoke-one-episode","End-to-end mock runtime for four allowed tasks","runtime","https://github.com/xlr1012514182/T-Rex","agent/revo3-v1-demo","revo3_v1/demo.py; tests/revo3_v1/test_demo.py","run_mock_demo and test_all_allowlisted_tasks_plumb","Planner; visual gate; EMG intent event; causal alignment; Task Executive; mock policy; reflex; safety; mock hand execute without hardware","Bottle writes 24 commands and reaches COMPLETE after mock release; phone, bag and refrigerator door each write 16 commands and reach stable HOLD","not-applicable","pass","py -3.10 scripts/revo3_v1_demo.py --task TASK --trace outputs/revo3_audit_mock/demo_TASK.json","audit/revo3_v1_mock_runtime.json","State transitions are deterministic plumbing checks, not task-success observations."
"R014","artifact","Revo3 V1 component test suite","runtime","https://github.com/xlr1012514182/T-Rex","agent/revo3-v1-demo","tests/revo3_v1","pytest result","All declared unit and mock integration tests pass","95 passed; one optree compatibility warning","not-applicable","pass","py -3.10 -m pytest -q tests/revo3_v1","audit/revo3_v1_test_results.txt","The warning disables a PyTorch Dynamo C++ pytree optimization and does not expand the verified scope."
"R015","runtime-config","Mock runtime resolved schedule","repo","https://github.com/ZhuoyangLiu2005/T-Rex","09db9f3b3e3936fb760e67329174bd2bed527a05","revo3_v1/policy/schedule.py; revo3_v1/demo.py","MAIN_ALIGNED_SCHEDULE and saved mock traces","16-step action chunk; 30 Hz command path; slow-and-fast at offset 0; fast refinements at offsets 4 8 12","Saved mock traces report chunk 16; policy 30 Hz; offsets 4 8 12; causal trigger grid 10 Hz","not-applicable","pass","py -3.10 scripts/revo3_v1_demo.py --task bottle --trace outputs/revo3_audit_mock/demo_bottle.json","audit/revo3_v1_mock_runtime.json","Runtime schedule verified only with MockTReXBackend."
"R016","smoke-actor","Real Qwen3-VL planner model","model","https://huggingface.co/Qwen/Qwen3-VL-2B-Instruct","89644892e4d85e24eaac8bacfd4f463576704203","revo3_v1/planner/backends.py; scripts/revo3_v1_qwen_smoke.py","audit/remote_gpu_smoke_20260817/source_and_checkpoint_identity.txt; qwen/strict_planner.json revision decision duration and CUDA fields","Load the exact pinned Qwen3-VL-2B revision and execute one bounded image-plus-classified-EMG-action-primitive generation with strict planner-schema parsing","Exact revision loaded on CUDA; generation succeeded; strict schema parsed to ASK_CLARIFY with task null; 14084.43 ms; observed GPU peak 4540 MiB","aligned","pass","CUDA_VISIBLE_DEVICES=0 PYTHONPATH=<pinned-source> python scripts/revo3_v1_qwen_smoke.py --model-id <pinned-local-Qwen> --revision 89644892e4d85e24eaac8bacfd4f463576704203 --output <evidence>/qwen/strict_planner.json --device-map auto --torch-dtype auto --max-new-tokens 384 --local-files-only --require-schema","audit/remote_gpu_smoke_20260817/qwen/strict_planner.json","Runnable actor smoke only. ASK_CLARIFY on one synthetic fixture is not evidence of object grounding, planner accuracy, robot-task success, or certified latency."
