"record_id","gate","component","source_kind","official_url","official_version","local_path","inspected_locator","expected","observed","alignment_status","execution_status","command_or_test","artifact_path","notes"
"T001","source-identity","BrainCo EDU hand and EMG public source","repo","https://github.com/BrainCoTech/brainco-hand-sdk","5c399113efd35f5ce664d5d8f3e8ff750ced5d23","teleop_data_collection/sources.lock.json","sources.lock.json; bootstrap_sources.py --list; ignored detached checkout HEAD","Exact public commit and license boundary are pinned without vendoring the checkout","Lock resolves the exact commit; MIT source remains an ignored external checkout","aligned","pass","py -3.10 teleop_data_collection/scripts/bootstrap_sources.py --list","audit/teleop_data_collection_source_identity.txt","This verifies public source identity and parser provenance, not a connected EDU device."
"T002","interface","Native-rate sample and controller receipt contracts","runtime","https://github.com/xlr1012514182/T-Rex","15195b5","teleop_data_collection/src/revo3_teleop/contracts.py","contracts.py; test_recording_core.py","Capture and receive time remain distinct; command request authorized and exact-sent values remain distinct","Shape finite timestamp sequence and receipt invariants pass positive and negative tests","aligned","pass","py -3.10 -m pytest -q teleop_data_collection/tests/test_recording_core.py","audit/teleop_data_collection_test_results.txt","Local contract verification only."
"T003","adapter-plumbing","Crash-bounded native HDF5 recorder and causal anchors","runtime","https://github.com/xlr1012514182/T-Rex","agent/revo3-v1-demo working tree 2026-08-18","teleop_data_collection/src/revo3_teleop/recording/recorder.py","recorder.py anchor_control_cycle; test_recording_core.py causal fallback and rejection cases","Save every stream at native rate and select the latest sample satisfying capture_timestamp<=30Hz anchor and receive_timestamp<=controller decision","Fixed-schema shards committed_rows and clean-close checks pass; the selector falls back from a post-decision arrival and rejects an anchor when no sample was available by decision time","not-applicable","pass","py -3.10 -m pytest -q teleop_data_collection/tests/test_recording_core.py","audit/teleop_data_collection_test_results.txt","Dual capture/receive causality is verified with synthetic clocks only. No physical clock-domain synchronization or latency measurement was exercised."
"T004","adapter-plumbing","Revo controller-boundary supervision","runtime","https://github.com/BrainCoTech/brainco-revo3-sdk","7ba96ebd5bee16b730577e2f7c5df98600da53eb","teleop_data_collection/src/revo3_teleop/backends/revo.py","backends/revo.py; export_revo3.py; test_revo_writer.py; audit_mock.py","Only an awaited successful Revo write may provide the 21D training label","Vetoed writes have no exact target; four-task mock export matches exact-sent values 16 of 16","deviation","pass","py -3.10 teleop_data_collection/scripts/audit_mock.py --output outputs/teleop_audit_mock_20260817_final --report outputs/teleop_audit_mock_20260817_final_report.json --duration-s 0.1","audit/teleop_data_collection_mock_audit.json","Adapter reuses the local safety pipeline; no physical Revo write or replay was performed."
"T005","adapter-plumbing","Tianji Marvin narrow backend","repo","https://github.com/wuji-technology/wuji-hand-teleop","647801345a6a27dec5cbf56280ce63bb8b2f6a32","teleop_data_collection/src/revo3_teleop/backends/tianji.py","Pinned Wuji wrapper plus historical MarvinSDK.h semantics; tianji.py; test_tianji_backend.py","Seven-axis rad-to-degree boundary with explicit clear set send transaction watchdog and fail-closed arming","Injected fake-native tests pass capability serial limits state errors A/B transactions and safe close behavior","deviation","pass","py -3.10 -m pytest -q teleop_data_collection/tests/test_tianji_backend.py","audit/teleop_data_collection_test_results.txt","Wuji is a public integration reference rather than verified Tianji vendor authority; no binary is vendored."
"T006","adapter-plumbing","BrainCo EDU EMG packet parser and reviewed five-class exporter","repo","https://github.com/BrainCoTech/brainco-hand-sdk","5c399113efd35f5ce664d5d8f3e8ff750ced5d23","teleop_data_collection/src/revo3_teleop/sources/brainco_emg.py; teleop_data_collection/src/revo3_teleop/recording/export_emg.py","brainco_emg.py; export_emg.py; source and export tests","Preserve 8 by 20 native packets at 250 Hz; never create labels inside the source; export only human-reviewed frozen primitive intervals with profile provenance","Parser preserves raw packet timing lead-off and sequence-gap evidence; five-class 2-second exporter rejects windows across any explicit gap or lead-off and keeps subjects split-exclusive; binary export is compatibility-only","aligned","pass","py -3.10 -m pytest -q teleop_data_collection/tests/test_source_brainco_emg.py teleop_data_collection/tests/test_recording_export_emg.py","audit/teleop_data_collection_test_results.txt","Synthetic packets only; no biological accuracy or cross-day performance is claimed."
"T007","adapter-plumbing","Camera acquisition boundary","runtime","https://github.com/xlr1012514182/T-Rex","15195b5","teleop_data_collection/src/revo3_teleop/sources/camera.py","camera.py; test_source_camera.py","Explicit RGB conversion calibration identity monotonic time and freeze evidence without detector tracker or SAM","Injected camera tests cover color order timestamp sequence schema and frozen-frame rejection","not-applicable","pass","py -3.10 -m pytest -q teleop_data_collection/tests/test_source_camera.py","audit/teleop_data_collection_test_results.txt","No physical fisheye calibration or camera latency measurement was performed."
"T008","adapter-plumbing","Master-to-Revo VLA physical separation and export causality","runtime","https://github.com/xlr1012514182/T-Rex","agent/revo3-v1-demo working tree 2026-08-18","teleop_data_collection/src/revo3_teleop/recording/export_revo3.py","export_revo3.py stream-reference verification; test_recording_export.py receive-after-decision tamper test","Derived VLA episode contains RGB state21 tactile5x6 and exact Revo action21 while excluding arm glove and EMG fields; exporter independently rechecks capture and receive causality","Allowlist export loads through the RevoEpisode contract declares contains_emg false and rejects a tampered reference received after the controller decision","aligned","pass","py -3.10 -m pytest -q teleop_data_collection/tests/test_recording_export.py","audit/teleop_data_collection_test_results.txt","Tianji motion remains visible in RGB but never enters the hand action vector. Synthetic export verification is not physical replay."
"T009","adapter-plumbing","CollectionSession lifecycle and fail-closed shutdown","runtime","https://github.com/xlr1012514182/T-Rex","agent/revo3-v1-demo working tree 2026-08-18","teleop_data_collection/src/revo3_teleop/recording/session.py; teleop_data_collection/src/revo3_teleop/hardware/collection.py","session.py; collection.py startup ownership bounded close and pre-commit ordering; related lifecycle and hardware collection tests","Invalid or stale streams and backend failures stop targets hold Revo soft-stop Tianji; a source is cleanup-owned before start; dependencies must close within budget before atomic commit","Lifecycle and orchestrator fault injection plus normal fake dependency commit tests pass; partial-start cleanup control timeout shutdown timeout and dependency-close timeout quarantine without publishing a committed episode","not-applicable","pass","py -3.10 -m pytest -q teleop_data_collection/tests/test_collection_session.py teleop_data_collection/tests/test_hardware_collection.py","audit/teleop_data_collection_test_results.txt","A one-command opt-in orchestrator now exists, but this verifies injected dependencies only; no physical device was connected and any shutdown timeout explicitly requires process or device intervention."
"T010","smoke-one-episode","Four-task synthetic collection and export","runtime","https://github.com/xlr1012514182/T-Rex","15195b5","teleop_data_collection/src/revo3_teleop/mock.py","mock.py; audit_mock.py; generated audit report","Bottle phone plastic-bag and refrigerator-door fixtures commit native streams and export four causal Revo anchors each","Four episodes commit; all required stream counts are present; 16 of 16 exact-sent controller targets match exported actions","not-applicable","pass","py -3.10 teleop_data_collection/scripts/audit_mock.py --output outputs/teleop_audit_mock_20260817_final --report outputs/teleop_audit_mock_20260817_final_report.json --duration-s 0.1","audit/teleop_data_collection_mock_audit.json","Synthetic serialization and causal plumbing only; task success is undefined."
